name,epochs,updates,batch_size,batch_iterations,examples_seen,inner_steps,obs_precision,alpha_mean,alpha_gate,schedule,final_mse,best_mse,best_update,best_after10_mse,best_after10_update,tail20_mean_mse,tail20_min_mse,tail20_std_mse,tail20_below_baseline_fraction,final_min_var_w_mean,final_min_var_w_a,final_median_var_w_a,final_mean_w_mean_slope_norm,final_mean_w_a_slope_norm,final_gate_active_fraction,final_effective_gate_count,metrics_path,log_path
schedule_site_b24_vmp5_amean0p5_agate0p05_sqrt_epoch_epochs10,10,200,24,5,4800,1000,1000.0,0.5,0.05,sqrt_epoch,0.19793682623174683,0.19793682623174683,200,0.19793682623174683,200,0.19822287607372407,0.19793682623174683,0.00016075375385619638,1.0,0.07262691766672735,9.826185882350828e-7,1.1303261902504763e-6,0.22565689333402655,32.14126309225071,0.9622209821428571,10.0967433208255,docs/bong_online_vmp/results/site_memory_schedule/schedule_site_b24_vmp5_amean0p5_agate0p05_sqrt_epoch_epochs10_metrics.csv,docs/bong_online_vmp/results/site_memory_schedule/schedule_site_b24_vmp5_amean0p5_agate0p05_sqrt_epoch_epochs10.log
schedule_site_b24_vmp5_amean0p5_agate0p05_inv_epoch_epochs10,10,200,24,5,4800,1000,1000.0,0.5,0.05,inv_epoch,0.20603360476464566,0.20603360476464566,200,0.20603360476464566,200,0.20608295476637456,0.20603360476464566,3.120773203314341e-5,1.0,0.02057220749619591,8.834737449393696e-7,1.0162778561709681e-6,0.08757660978668945,28.89825493052912,0.9622209821428571,10.096743452858327,docs/bong_online_vmp/results/site_memory_schedule/schedule_site_b24_vmp5_amean0p5_agate0p05_inv_epoch_epochs10_metrics.csv,docs/bong_online_vmp/results/site_memory_schedule/schedule_site_b24_vmp5_amean0p5_agate0p05_inv_epoch_epochs10.log
schedule_site_b24_vmp5_amean0p5_agate0p05_drop_after5_epochs10,10,200,24,5,4800,1000,1000.0,0.5,0.05,drop_after5,0.20682385756827065,0.19803803083052393,86,0.19803803083052393,86,0.20653970391530357,0.2057764493138831,0.00029843520418734623,1.0,0.14990097106835035,1.0092406044946356e-6,1.1609500381823956e-6,0.440784303563751,33.01206395827165,0.9622209821428571,10.096743290817567,docs/bong_online_vmp/results/site_memory_schedule/schedule_site_b24_vmp5_amean0p5_agate0p05_drop_after5_epochs10_metrics.csv,docs/bong_online_vmp/results/site_memory_schedule/schedule_site_b24_vmp5_amean0p5_agate0p05_drop_after5_epochs10.log
schedule_site_b24_vmp5_amean0p5_agate0p05_freeze_after5_epochs10,10,200,24,5,4800,1000,1000.0,0.5,0.05,freeze_after5,0.19984786347512828,0.19803803083052393,86,0.19803803083052393,86,0.1998478634759731,0.19984786347512828,4.052924929675032e-13,1.0,0.11599100325114994,9.842606411695238e-7,1.1322150772105572e-6,0.3460031154288089,32.194974328109346,0.9622209821428571,10.096743325252783,docs/bong_online_vmp/results/site_memory_schedule/schedule_site_b24_vmp5_amean0p5_agate0p05_freeze_after5_epochs10_metrics.csv,docs/bong_online_vmp/results/site_memory_schedule/schedule_site_b24_vmp5_amean0p5_agate0p05_freeze_after5_epochs10.log
